IDCliente,Estado Civil,Género,Hijos,Hijos en casa,Educación,Ocupación,Casa,Coches,Distancia,Región,Comprador,Edad,Ingresos
11032,C,F,4,0,Formación Profesional,Obrero,1,2,1-2 KM,Pacífico,1,62,20000
11033,C,M,4,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,1,57,20000
11034,C,F,4,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,1,62,20000
11035,C,F,2,1,FP en curso,Religión,1,2,1-2 KM,Pacífico,1,62,10000
11036,C,F,0,0,ESO,Obrero,1,2,1-2 KM,Norte América,1,31,60000
11037,S,F,0,0,FP en curso,Religión,0,2,5-10 KM,Norte América,1,32,40000
11038,C,F,2,1,FP en curso,Religión,1,2,5-10 KM,Pacífico,1,62,10000
11039,C,M,3,0,ESO,Religión,1,2,5-10 KM,Pacífico,1,61,30000
11040,C,M,0,0,ESO,Obrero,1,2,1-2 KM,Norte América,1,32,30000
11041,C,F,0,0,ESO,Obrero,1,2,1-2 KM,Norte América,1,32,60000
11042,C,F,0,0,ESO,Obrero,1,2,0-1 KM,Norte América,1,32,70000
11043,C,M,0,0,ESO,Obrero,1,2,5-10 KM,Norte América,0,34,60000
11044,C,M,2,1,FP en curso,Religión,1,2,1-2 KM,Pacífico,1,60,20000
11045,S,M,3,0,Formación Profesional,Obrero,0,2,1-2 KM,Pacífico,0,59,30000
11046,C,F,3,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,1,60,30000
11047,C,F,3,0,Formación Profesional,Obrero,0,2,1-2 KM,Pacífico,1,60,30000
11048,C,M,3,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,1,59,30000
11049,S,F,0,0,FP en curso,Religión,1,2,5-10 KM,Norte América,0,29,40000
11050,C,M,3,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,1,58,30000
11051,S,M,3,0,Formación Profesional,Obrero,0,2,1-2 KM,Pacífico,0,58,30000
11052,S,F,2,0,ESO,Religión,0,2,5-10 KM,Pacífico,1,58,40000
11053,C,F,0,0,ESO,Obrero,0,2,1-2 KM,Norte América,1,29,60000
11054,C,F,2,0,ESO,Obrero,1,2,5-10 KM,Pacífico,1,58,40000
11055,C,M,2,0,ESO,Obrero,1,2,5-10 KM,Pacífico,1,58,40000
11056,C,F,3,0,ESO,Obrero,1,2,5-10 KM,Pacífico,1,56,40000
11057,C,M,2,0,Grado Universitario,Administrativo,1,2,1-2 KM,Pacífico,1,45,70000
11058,C,M,2,0,ESO,Obrero,1,2,1-2 KM,Pacífico,1,50,80000
11059,S,F,2,0,ESO,Obrero,1,2,5-10 KM,Pacífico,0,55,80000
11060,C,M,2,0,ESO,Obrero,1,2,5-10 KM,Pacífico,1,56,80000
11061,C,M,2,0,ESO,Obrero,1,2,5-10 KM,Pacífico,1,39,80000
11062,C,M,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,1,34,40000
11063,S,F,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,1,34,40000
11064,C,M,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,1,34,40000
11065,C,F,0,0,ESO,Obrero,0,2,1-2 KM,Norte América,0,36,60000
11066,C,F,0,0,ESO,Profesional,1,2,5-10 KM,Norte América,0,36,70000
11067,S,M,0,0,ESO,Profesional,1,2,5-10 KM,Norte América,0,33,60000
11068,S,F,2,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,0,49,80000
11069,S,F,2,0,Formación Profesional,Obrero,0,2,1-2 KM,Pacífico,1,49,80000
11070,C,M,2,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,1,54,80000
11071,S,F,2,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,0,54,80000
11072,S,F,2,0,Formación Profesional,Obrero,0,2,1-2 KM,Pacífico,1,55,80000
11073,S,F,2,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,0,53,70000
11074,S,M,2,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,0,53,70000
11075,S,F,2,0,Formación Profesional,Profesional,1,2,5-10 KM,Pacífico,1,52,80000
11076,S,M,2,0,Formación Profesional,Profesional,1,2,5-10 KM,Pacífico,1,52,80000
11077,S,F,2,0,Formación Profesional,Profesional,0,2,1-2 KM,Pacífico,1,52,80000
11078,S,F,0,0,Formación Profesional,Profesional,0,2,1-2 KM,Norte América,0,30,40000
11079,S,M,0,0,Grado Universitario,Administrativo,1,2,0-1 KM,Pacífico,0,45,160000
11080,C,M,0,0,Grado Universitario,Administrativo,1,2,0-1 KM,Pacífico,1,50,170000
11081,C,F,2,2,Bachiller,Administrativo,1,3,2-5 KM,Norte América,0,43,120000
11082,S,F,0,1,Grado Universitario,Administrativo,0,3,1-2 KM,Norte América,1,43,130000
11083,C,F,0,1,Grado Universitario,Administrativo,1,3,1-2 KM,Norte América,1,38,130000
11084,S,M,2,0,FP en curso,Obrero,0,2,1-2 KM,Norte América,1,52,80000
11085,S,F,2,0,Formación Profesional,Profesional,0,2,5-10 KM,Norte América,0,52,60000
11086,C,M,2,1,ESO,Profesional,1,0,0-1 KM,Norte América,0,52,70000
11087,C,F,3,2,ESO,Profesional,0,0,0-1 KM,Norte América,0,52,70000
11088,C,M,2,1,Bachiller,Administrativo,1,0,2-5 KM,Norte América,1,52,80000
11089,S,F,2,1,Bachiller,Administrativo,1,1,2-5 KM,Norte América,1,53,80000
11090,S,M,2,0,ESO,Profesional,1,1,2-5 KM,Norte América,1,46,90000
11091,C,M,2,0,ESO,Profesional,1,1,5-10 KM,Norte América,0,52,90000
11092,C,F,2,2,Bachiller,Profesional,1,0,1-2 KM,Pacífico,1,42,90000
11093,C,F,0,0,Grado Universitario,Administrativo,1,0,0-1 KM,Pacífico,1,37,100000
11094,S,M,1,0,ESO,Obrero,0,1,0-1 KM,Pacífico,0,47,70000
11095,S,M,1,0,ESO,Obrero,1,1,5-10 KM,Pacífico,1,47,70000
11096,C,M,1,0,Bachiller,Profesional,1,1,5-10 KM,Pacífico,1,47,60000
11097,C,M,1,0,ESO,Obrero,1,1,5-10 KM,Pacífico,1,42,60000
11098,S,F,1,0,ESO,Obrero,0,1,0-1 KM,Pacífico,0,48,60000
11099,C,M,1,0,Bachiller,Profesional,1,1,0-1 KM,Pacífico,1,49,60000
11100,S,F,1,0,ESO,Obrero,1,1,5-10 KM,Pacífico,1,49,60000
11101,S,F,0,0,Bachiller,Profesional,0,1,0-1 KM,Pacífico,1,44,70000
11102,S,F,5,5,Bachiller,Profesional,1,4,1-2 KM,Pacífico,0,44,80000
11103,S,F,0,0,Bachiller,Profesional,1,1,5-10 KM,Pacífico,1,34,70000
11104,C,M,0,0,Bachiller,Profesional,0,1,0-1 KM,Pacífico,1,40,70000
11105,S,F,0,0,Bachiller,Profesional,0,1,5-10 KM,Pacífico,1,45,70000
11106,S,M,0,0,Bachiller,Profesional,0,1,5-10 KM,Pacífico,1,45,70000
11107,C,F,1,0,Bachiller,Profesional,1,1,5-10 KM,Pacífico,1,39,90000
11108,S,F,0,0,Bachiller,Profesional,0,2,0-1 KM,Pacífico,1,46,70000
11109,S,M,0,0,Bachiller,Profesional,0,2,0-1 KM,Pacífico,1,35,70000
11110,C,M,1,0,ESO,Obrero,1,1,5-10 KM,Pacífico,1,47,60000
11111,C,F,1,0,ESO,Obrero,1,1,0-1 KM,Pacífico,1,48,60000
11112,C,F,1,0,ESO,Obrero,1,1,0-1 KM,Pacífico,1,47,60000
11113,C,M,5,4,Bachiller,Profesional,1,2,5-10 KM,Pacífico,0,42,70000
11114,S,F,5,4,ESO,Obrero,1,2,5-10 KM,Pacífico,0,47,70000
11115,C,M,5,4,ESO,Obrero,1,2,0-1 KM,Pacífico,0,48,70000
11116,C,M,5,4,ESO,Obrero,1,2,5-10 KM,Pacífico,0,36,70000
11117,C,F,5,4,ESO,Obrero,1,3,10+ KM,Pacífico,1,49,70000
11118,S,M,1,0,ESO,Obrero,0,1,0-1 KM,Pacífico,0,52,80000
11119,S,M,2,0,ESO,Religión,0,2,0-1 KM,Pacífico,0,74,30000
11120,S,F,2,0,Bachiller,Administrativo,1,1,5-10 KM,Pacífico,1,73,40000
11121,C,M,5,4,ESO,Obrero,1,3,10+ KM,Pacífico,0,49,70000
11122,C,M,5,4,ESO,Obrero,1,3,5-10 KM,Pacífico,0,49,70000
11123,C,M,5,4,ESO,Obrero,1,3,10+ KM,Pacífico,0,49,70000
11124,S,M,1,0,ESO,Obrero,1,1,5-10 KM,Pacífico,1,47,80000
11125,S,F,1,0,ESO,Obrero,1,1,5-10 KM,Pacífico,0,53,70000
11126,C,M,2,1,Formación Profesional,Obrero,0,2,0-1 KM,Pacífico,1,60,10000
11127,C,F,0,0,Formación Profesional,Obrero,1,1,5-10 KM,Norte América,0,34,40000
11128,C,F,0,0,Formación Profesional,Obrero,1,1,5-10 KM,Norte América,0,34,40000
11129,S,F,0,0,Formación Profesional,Obrero,1,1,5-10 KM,Norte América,1,34,40000
11130,C,F,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,30,30000
11131,C,F,0,0,Formación Profesional,Obrero,0,2,0-1 KM,Norte América,0,30,30000
11132,S,F,0,0,Formación Profesional,Obrero,0,2,5-10 KM,Norte América,1,29,30000
11133,S,F,0,0,FP en curso,Religión,0,2,0-1 KM,Norte América,0,29,30000
11134,S,M,5,0,Formación Profesional,Obrero,1,2,5-10 KM,Pacífico,1,58,10000
11135,S,M,0,0,FP en curso,Religión,0,2,5-10 KM,Norte América,1,30,30000
11136,S,F,0,0,Formación Profesional,Obrero,0,2,0-1 KM,Norte América,1,31,40000
11137,C,F,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,31,40000
11138,C,F,0,0,Formación Profesional,Obrero,0,2,0-1 KM,Norte América,0,31,40000
11139,S,F,2,0,ESO,Religión,0,2,5-10 KM,Pacífico,0,65,30000
11140,S,M,0,0,FP en curso,Religión,0,2,5-10 KM,Norte América,0,33,30000
11141,C,F,0,0,Formación Profesional,Obrero,0,2,0-1 KM,Norte América,0,32,40000
11142,S,M,0,0,Formación Profesional,Obrero,0,2,0-1 KM,Norte América,0,32,40000
11143,C,M,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,33,40000
11144,S,M,0,0,Formación Profesional,Obrero,0,2,0-1 KM,Norte América,1,30,40000
11145,S,F,0,0,Formación Profesional,Obrero,0,2,0-1 KM,Norte América,1,30,40000
11146,S,F,2,0,Bachiller,Administrativo,1,2,5-10 KM,Pacífico,0,70,40000
11147,C,M,2,0,Grado Universitario,Administrativo,1,1,0-1 KM,Pacífico,1,71,60000
11148,C,M,2,0,Bachiller,Administrativo,1,2,5-10 KM,Pacífico,0,68,40000
11149,C,M,2,0,Bachiller,Administrativo,1,2,0-1 KM,Pacífico,0,68,40000
11150,S,M,2,0,Bachiller,Administrativo,1,2,5-10 KM,Pacífico,0,69,40000
11151,S,F,2,0,Grado Universitario,Administrativo,0,1,0-1 KM,Pacífico,1,68,60000
11152,S,M,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,1,34,40000
11153,C,F,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,33,40000
11154,S,F,0,0,ESO,Obrero,1,1,5-10 KM,Norte América,1,33,40000
11155,S,M,0,0,ESO,Obrero,0,1,1-2 KM,Norte América,1,34,40000
11156,S,F,0,0,ESO,Obrero,0,1,1-2 KM,Norte América,1,34,40000
11157,C,F,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,0,34,40000
11158,S,M,0,0,Formación Profesional,Obrero,1,2,5-10 KM,Norte América,1,34,40000
11159,S,F,0,0,Formación Profesional,Obrero,0,2,1-2 KM,Norte América,0,34,40000
11160,S,M,0,0,ESO,Obrero,0,1,5-10 KM,Norte América,1,36,40000
11161,S,F,0,0,ESO,Obrero,0,1,1-2 KM,Norte América,0,35,40000
11162,S,M,0,0,ESO,Obrero,1,1,5-10 KM,Norte América,1,36,40000
11163,C,M,0,0,ESO,Obrero,1,1,5-10 KM,Norte América,0,35,40000
11164,S,M,0,0,ESO,Obrero,0,1,1-2 KM,Norte América,0,35,40000
11165,C,F,0,0,ESO,Obrero,0,1,1-2 KM,Norte América,0,36,60000
11166,S,F,0,0,ESO,Obrero,0,2,0-1 KM,Norte América,0,37,70000
11167,S,F,0,0,Bachiller,Administrativo,0,1,0-1 KM,Norte América,1,37,80000
11168,S,M,0,0,Bachiller,Administrativo,0,1,0-1 KM,Norte América,1,41,80000
11169,C,M,4,4,Bachiller,Administrativo,1,1,0-1 KM,Norte América,0,41,90000
11170,C,F,4,4,Bachiller,Administrativo,1,1,0-1 KM,Norte América,0,42,90000
11171,S,M,1,0,Bachiller,Administrativo,1,2,1-2 KM,Norte América,1,36,100000
11172,C,F,1,0,Bachiller,Administrativo,1,2,1-2 KM,Norte América,0,42,100000
11173,S,F,0,0,Grado Universitario,Administrativo,0,4,0-1 KM,Norte América,0,42,110000
11174,C,M,0,1,Grado Universitario,Administrativo,1,0,2-5 KM,Norte América,0,42,110000
11175,S,M,0,0,ESO,Obrero,1,2,5-10 KM,Norte América,1,47,70000
11176,C,M,4,4,Bachiller,Administrativo,1,1,1-2 KM,Norte América,0,36,90000
11177,C,M,2,4,Grado Universitario,Administrativo,1,2,5-10 KM,Norte América,0,67,110000
11178,C,M,2,3,Grado Universitario,Administrativo,1,3,1-2 KM,Norte América,0,61,100000
11179,C,F,2,4,Grado Universitario,Administrativo,1,3,5-10 KM,Norte América,0,55,120000
11180,C,F,1,3,Bachiller,Administrativo,1,4,0-1 KM,Norte América,0,67,160000
11181,C,M,2,3,Grado Universitario,Administrativo,1,2,0-1 KM,Norte América,0,55,170000
11182,S,F,4,0,Bachiller,Administrativo,1,2,10+ KM,Norte América,0,65,70000
11183,S,F,4,0,Bachiller,Administrativo,1,2,10+ KM,Norte América,0,65,70000
11184,S,F,4,0,Bachiller,Administrativo,1,2,10+ KM,Norte América,0,59,70000
11185,S,F,4,0,Bachiller,Administrativo,1,2,10+ KM,Norte América,0,65,70000
11186,S,F,4,0,Bachiller,Administrativo,1,2,10+ KM,Norte América,0,65,70000
11187,C,F,4,0,Grado Universitario,Administrativo,1,2,10+ KM,Norte América,0,66,60000
11188,C,F,4,0,Grado Universitario,Administrativo,0,2,1-2 KM,Norte América,0,65,60000
11189,S,M,4,0,Grado Universitario,Administrativo,1,2,10+ KM,Norte América,1,65,60000
11190,C,M,5,0,Bachiller,Administrativo,1,2,10+ KM,Norte América,0,65,70000
11191,S,F,5,0,Bachiller,Administrativo,1,3,10+ KM,Norte América,1,64,70000
11192,C,M,4,0,Bachiller,Administrativo,1,2,2-5 KM,Norte América,0,64,60000
11193,C,M,4,0,Bachiller,Administrativo,1,2,2-5 KM,Norte América,0,65,60000
11194,C,F,4,0,Bachiller,Administrativo,1,2,2-5 KM,Norte América,0,64,60000
11195,C,F,5,0,Bachiller,Administrativo,1,3,10+ KM,Norte América,0,64,60000
11196,C,M,5,0,Bachiller,Administrativo,1,3,10+ KM,Norte América,0,63,60000
11197,C,F,3,1,Bachiller,Administrativo,0,1,1-2 KM,Norte América,0,63,70000
11198,S,F,4,1,Bachiller,Administrativo,1,1,10+ KM,Norte América,0,63,70000
11199,C,F,4,1,Bachiller,Administrativo,1,1,10+ KM,Norte América,0,57,70000
11200,C,M,4,1,Bachiller,Administrativo,1,1,1-2 KM,Norte América,0,62,70000
11201,C,F,4,1,Bachiller,Administrativo,1,1,10+ KM,Norte América,0,62,70000
11202,C,F,5,0,Bachiller,Administrativo,0,2,1-2 KM,Norte América,0,57,80000
11203,C,M,2,1,Formación Profesional,Profesional,1,2,10+ KM,Norte América,0,56,40000
11204,C,F,2,1,Formación Profesional,Profesional,1,2,2-5 KM,Norte América,0,61,40000
11205,C,F,2,1,Formación Profesional,Profesional,1,2,10+ KM,Norte América,0,61,40000
11206,C,M,2,1,ESO,Profesional,1,1,10+ KM,Norte América,0,61,60000
11207,S,F,2,1,ESO,Profesional,1,1,10+ KM,Norte América,0,61,60000
11208,C,F,2,1,Bachiller,Administrativo,1,0,10+ KM,Norte América,0,62,60000
11209,C,F,2,1,Bachiller,Administrativo,1,0,10+ KM,Norte América,0,62,60000
11210,C,M,4,1,ESO,Profesional,1,2,10+ KM,Norte América,0,61,70000
11211,C,F,2,1,Formación Profesional,Profesional,1,2,2-5 KM,Norte América,0,54,40000
11212,C,F,2,1,Formación Profesional,Profesional,1,2,2-5 KM,Norte América,0,60,40000
11213,S,F,2,1,ESO,Profesional,1,2,10+ KM,Norte América,0,60,60000
11214,S,M,2,1,ESO,Profesional,1,2,10+ KM,Norte América,0,60,60000
11215,C,F,2,1,FP en curso,Obrero,1,2,10+ KM,Norte América,0,54,40000
11216,S,F,2,1,ESO,Profesional,1,2,10+ KM,Norte América,1,59,60000
11217,S,F,2,1,ESO,Profesional,1,2,10+ KM,Norte América,1,60,60000
11218,S,F,2,1,ESO,Profesional,0,2,2-5 KM,Norte América,0,54,60000
11219,C,M,2,1,Formación Profesional,Profesional,1,2,10+ KM,Norte América,0,59,60000
11220,C,F,2,1,ESO,Profesional,1,1,10+ KM,Norte América,0,54,60000
11221,C,M,4,2,ESO,Profesional,1,1,1-2 KM,Norte América,0,59,70000
11222,C,F,3,1,Bachiller,Administrativo,1,1,1-2 KM,Norte América,0,59,80000
11223,S,F,2,1,Formación Profesional,Profesional,1,2,2-5 KM,Norte América,0,58,70000
11224,S,F,2,1,Formación Profesional,Profesional,1,2,10+ KM,Norte América,1,58,70000
11225,C,F,2,1,ESO,Profesional,1,1,10+ KM,Norte América,0,53,60000
11226,C,F,2,1,ESO,Profesional,1,1,2-5 KM,Norte América,0,53,60000
11227,S,M,2,1,ESO,Profesional,1,2,10+ KM,Norte América,1,53,60000
11228,C,F,2,1,ESO,Profesional,1,2,10+ KM,Norte América,0,58,60000
11229,S,M,4,2,ESO,Profesional,1,1,10+ KM,Norte América,0,58,70000
11230,C,F,4,2,ESO,Profesional,0,2,2-5 KM,Norte América,0,58,70000
11231,C,M,2,1,Formación Profesional,Profesional,1,2,10+ KM,Norte América,0,51,60000
11232,C,F,3,1,Formación Profesional,Profesional,0,2,2-5 KM,Norte América,0,57,60000
11233,C,M,4,2,ESO,Profesional,1,2,10+ KM,Norte América,0,52,70000
11234,S,F,4,2,ESO,Profesional,1,2,10+ KM,Norte América,0,57,70000
11235,C,M,4,2,ESO,Profesional,1,2,10+ KM,Norte América,0,58,70000
11236,S,M,5,2,ESO,Profesional,1,2,10+ KM,Norte América,0,58,70000
11237,S,M,2,3,Bachiller,Administrativo,0,4,0-1 KM,Europa,1,51,130000
11238,S,F,2,3,Bachiller,Administrativo,0,4,0-1 KM,Europa,1,51,130000
11239,C,F,2,4,ESO,Profesional,0,2,5-10 KM,Europa,1,45,130000
11240,C,F,2,3,ESO,Profesional,1,4,5-10 KM,Europa,1,51,160000
11241,S,F,2,3,ESO,Profesional,1,4,5-10 KM,Europa,1,41,100000
11242,C,M,2,4,ESO,Profesional,1,3,5-10 KM,Europa,1,52,110000
11243,C,F,2,3,ESO,Profesional,1,3,0-1 KM,Europa,1,52,150000
11244,S,F,2,3,Bachiller,Administrativo,0,3,0-1 KM,Europa,1,46,170000
11245,C,M,3,4,Formación Profesional,Profesional,0,4,5-10 KM,Europa,1,53,120000
11246,C,F,3,4,Formación Profesional,Profesional,0,4,5-10 KM,Europa,1,53,120000
11247,S,F,3,4,ESO,Profesional,0,3,0-1 KM,Europa,1,53,130000
11248,C,M,3,4,ESO,Profesional,1,4,10+ KM,Europa,0,49,110000
11249,C,F,3,4,ESO,Profesional,1,3,0-1 KM,Europa,1,49,130000
11250,C,F,3,4,Formación Profesional,Profesional,1,2,5-10 KM,Europa,1,49,170000
11251,S,M,4,0,Formación Profesional,Profesional,0,2,5-10 KM,Norte América,1,77,30000
11252,S,M,3,0,Grado Universitario,Administrativo,1,1,2-5 KM,Norte América,1,77,90000
11253,C,M,2,0,Grado Universitario,Administrativo,1,2,1-2 KM,Norte América,0,66,60000
11254,C,M,4,0,Grado Universitario,Administrativo,1,2,5-10 KM,Norte América,0,77,70000
11255,C,M,4,0,Grado Universitario,Administrativo,1,2,5-10 KM,Norte América,0,76,70000
11256,C,F,4,0,Grado Universitario,Administrativo,1,2,5-10 KM,Norte América,0,76,70000
11257,S,F,1,2,Grado Universitario,Administrativo,1,4,2-5 KM,Norte América,1,77,120000
11258,C,M,1,2,Grado Universitario,Administrativo,1,4,2-5 KM,Norte América,0,76,120000
11259,C,F,4,1,ESO,Profesional,1,4,2-5 KM,Norte América,1,45,100000
11260,C,F,2,2,Bachiller,Administrativo,1,3,2-5 KM,Norte América,0,39,110000
11261,C,F,1,2,Grado Universitario,Administrativo,1,1,0-1 KM,Norte América,1,44,130000
11262,C,F,4,3,Bachiller,Administrativo,1,0,0-1 KM,Norte América,0,40,80000
11263,C,F,5,5,ESO,Profesional,1,3,2-5 KM,Norte América,1,45,90000
11264,S,M,5,5,ESO,Profesional,0,3,0-1 KM,Norte América,1,45,90000
11265,C,F,5,5,ESO,Profesional,1,3,0-1 KM,Norte América,1,45,90000
11266,S,F,0,0,ESO,Profesional,0,1,5-10 KM,Norte América,1,45,90000
11267,S,M,4,2,ESO,Profesional,1,4,2-5 KM,Norte América,1,39,120000
11268,C,F,2,2,Grado Universitario,Administrativo,1,2,1-2 KM,Norte América,0,45,130000
11269,C,M,2,2,Grado Universitario,Administrativo,1,2,0-1 KM,Norte América,0,39,130000
11270,C,M,2,2,Grado Universitario,Administrativo,1,3,0-1 KM,Norte América,1,40,130000
11271,S,F,2,0,Bachiller,Administrativo,0,4,1-2 KM,Norte América,1,45,150000
11272,S,F,4,3,ESO,Profesional,1,0,5-10 KM,Norte América,1,53,70000
11273,C,M,2,1,ESO,Profesional,1,0,10+ KM,Norte América,0,53,90000
11274,C,M,2,0,Grado Universitario,Administrativo,1,2,5-10 KM,Norte América,1,75,50000
11275,C,F,4,0,Grado Universitario,Administrativo,1,2,0-1 KM,Norte América,1,76,80000
11276,C,F,4,3,ESO,Profesional,1,2,2-5 KM,Norte América,0,41,80000
11277,C,M,4,3,ESO,Profesional,1,2,0-1 KM,Norte América,0,46,80000
11278,S,M,0,0,ESO,Profesional,0,1,10+ KM,Norte América,1,46,90000
11279,C,F,0,0,ESO,Profesional,1,1,10+ KM,Norte América,0,41,90000
11280,C,M,0,0,ESO,Profesional,1,1,10+ KM,Norte América,0,46,90000
11281,S,F,4,2,Bachiller,Administrativo,1,4,5-10 KM,Norte América,1,40,110000
11282,C,M,5,4,ESO,Profesional,1,4,1-2 KM,Norte América,1,48,90000
11283,C,M,1,3,Bachiller,Administrativo,1,2,1-2 KM,Norte América,0,47,110000
11284,C,F,1,3,Bachiller,Administrativo,1,2,1-2 KM,Norte América,0,48,110000
11285,C,M,1,3,ESO,Profesional,0,4,2-5 KM,Norte América,0,42,120000
11286,C,M,0,0,Grado Universitario,Administrativo,1,4,2-5 KM,Norte América,1,48,170000
11287,C,M,5,4,ESO,Profesional,0,3,5-10 KM,Norte América,0,49,70000
11288,C,F,1,3,Bachiller,Administrativo,1,3,2-5 KM,Norte América,0,37,110000
11289,C,F,1,3,Bachiller,Administrativo,1,1,0-1 KM,Norte América,1,43,130000
11290,C,F,1,3,Bachiller,Administrativo,1,3,2-5 KM,Norte América,1,43,130000
11291,C,F,1,3,Bachiller,Administrativo,1,3,2-5 KM,Norte América,1,43,130000
11292,S,M,1,2,ESO,Profesional,0,3,0-1 KM,Norte América,1,48,150000
11293,S,M,2,0,Formación Profesional,Profesional,0,2,1-2 KM,Norte América,0,54,60000
11294,C,M,2,0,Formación Profesional,Profesional,0,2,1-2 KM,Norte América,0,54,60000
11295,S,F,2,0,FP en curso,Obrero,1,2,5-10 KM,Norte América,1,55,80000
11296,S,F,2,0,Grado Universitario,Administrativo,1,2,5-10 KM,Norte América,1,74,50000
11297,S,M,4,0,Grado Universitario,Administrativo,1,2,5-10 KM,Norte América,1,75,70000
11298,C,M,4,0,Grado Universitario,Administrativo,1,2,1-2 KM,Norte América,1,75,70000
11299,C,M,4,0,Grado Universitario,Administrativo,1,2,1-2 KM,Norte América,1,73,70000
11300,C,M,5,4,ESO,Profesional,0,3,1-2 KM,Norte América,0,50,80000
11301,C,M,5,4,ESO,Profesional,1,4,5-10 KM,Norte América,0,49,80000
11302,S,M,4,3,Formación Profesional,Profesional,0,3,1-2 KM,Norte América,1,43,90000
11303,S,F,4,3,Formación Profesional,Profesional,0,3,1-2 KM,Norte América,1,49,90000
11304,C,F,0,3,ESO,Profesional,1,0,5-10 KM,Norte América,0,44,100000
11305,C,M,3,3,ESO,Profesional,0,4,2-5 KM,Norte América,0,49,110000
